genres,average_price
"Animation & Modeling;Design & Illustration;Education;Software Training;Utilities",$78.99
Utilities,$60.99
"Action;Adventure;Massively Multiplayer",$33.99
"Action;Adventure;Indie;Massively Multiplayer;RPG",$27.79
Action;RPG;Simulation,$26.99
Casual;Simulation,$25.99
"Action;Massively Multiplayer;Racing",$25.99
Violent;Action;Adventure,$24.99
Casual;Strategy,$22.99
Action;Indie;RPG;Simulation;Strategy,$22.99
Racing;Sports,$22.49
Action;Indie;Racing;Simulation;Sports,$21.99
Action;RPG,$20.24
"Casual;Indie;Simulation;Early Access",$19.49
"Action;Adventure;Indie;Simulation;Early Access",$19.49
Indie;Sports;Strategy,$18.99
Action,$18.77
Indie;Simulation,$17.49
RPG;Strategy,$16.99
Racing,$16.99
Indie;RPG;Strategy,$16.71
Simulation;Strategy,$16.66
Simulation,$16.29
Indie;Simulation;Strategy,$15.93
Adventure;Indie;RPG;Strategy,$15.92
Indie;Simulation;Sports,$15.49
Action;Adventure;Indie;Simulation,$15.49
Indie;Racing;Simulation;Sports,$15.49
Action;Indie;Simulation;Strategy,$15.24
Sports;Strategy,$14.99
RPG;Simulation;Strategy,$14.99
"Adventure;Indie;Simulation;Early Access",$14.99
Action;Adventure;Indie;RPG;Simulation;Strategy,$14.99
Action;Indie;Racing;Sports,$14.99
"Action;Adventure;Indie;Strategy;Early Access",$14.99
Adventure;Indie,$14.9
Action;Adventure,$14.71
Action;Adventure;RPG,$14.16
Indie;RPG,$14.06
Indie;Strategy,$14.03
Adventure;Indie;RPG,$13.99
RPG,$13.68
Action;Adventure;Indie;RPG,$13.11
Racing;Simulation;Sports,$12.59
Adventure,$12.57
Indie;RPG;Simulation;Strategy,$12.49
"Indie;Massively Multiplayer;Strategy",$12.49
Action;Indie;Racing,$12.14
Action;Adventure;Casual;Indie;RPG,$11.99
"Action;Indie;Simulation;Early Access",$11.99
Action;Simulation;Strategy,$11.99
Action;Indie;Simulation,$11.79
"Indie;Simulation;Early Access",$11.39
Adventure;Indie;Simulation,$11.39
Action;Adventure;Indie,$11.12
Action;Adventure;Indie;Racing,$10.99
Action;Casual;Indie;Racing;Sports,$10.99
Adventure;Casual;Indie;Simulation,$10.99
Adventure;RPG;Strategy,$10.99
"Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access",$10.99
Action;Adventure;Casual;Indie;Simulation;Sports,$10.99
Strategy,$10.42
Action;Indie;RPG,$10.22
"Action;Indie;Early Access",$10.16
Action;Indie;Strategy,$10.1
"Massively Multiplayer;RPG",$9.99
"Action;Indie;RPG;Strategy;Early Access",$9.99
Action;Indie;RPG;Strategy,$9.99
Adventure;Casual;Indie;RPG;Simulation;Strategy,$9.99
Adventure;Casual;Indie,$9.89
Action;Indie,$9.05
Casual;Indie,$8.99
Casual;Indie;Simulation;Strategy,$8.49
Indie,$8.35
Action;Adventure;Casual;Indie,$7.99
Action;Adventure;Indie;RPG;Simulation,$7.19
Action;Adventure;Indie;Simulation;Strategy,$7.19
Casual;Indie;Simulation,$7.09
Indie;Racing,$6.99
Violent;Gore;Action;Adventure;Indie;RPG,$6.99
"Action;Casual;Indie;Early Access",$6.99
"Casual;Indie;RPG;Simulation;Strategy;Early Access",$6.99
Action;Adventure;Casual;Racing,$6.99
Action;Casual;Indie;Strategy,$6.99
"Action;Indie;Massively Multiplayer;RPG;Simulation",$6.99
Casual;Indie;Strategy,$6.99
Action;Adventure;Casual;Indie;Strategy,$6.99
Adventure;Casual,$5.89
Adventure;Indie;Strategy,$5.79
"Indie;Massively Multiplayer;RPG",$5.49
Adventure;Simulation,$4.79
Action;Casual;Indie,$4.75
Adventure;Casual;Indie;RPG;Strategy,$3.99
Action;Strategy,$3.99
Action;Indie;Sports,$3.5
Violent;Action;Adventure;Indie,$2.79
"Free to Play;RPG;Strategy",$0
"Action;Free to Play;Indie;Strategy",$0
"Action;Free to Play;Indie",$0
"Adventure;Free to Play;Massively Multiplayer;RPG;Strategy",$0
"Action;Adventure;Free to Play;Massively Multiplayer;RPG",$0
"Action;Free to Play;Massively Multiplayer;RPG",$0
"Free to Play;Strategy",$0
"Action;Free to Play;Indie;Racing",$0
"Free to Play;Simulation",$0
"Action;Casual;Free to Play;Indie",$0
"Action;Free to Play;Indie;Massively Multiplayer",$0
"Action;Free to Play;Indie;RPG",$0
"Action;Free to Play;Indie;RPG;Strategy",$0
"Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG",$0
"Free to Play;Indie;Simulation;Sports",$0
"Action;Adventure;Casual;Indie;Early Access",$0
"Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG",$0
"Casual;Free to Play;Indie",$0
"Free to Play;RPG",$0
"Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access",$0
"Action;Adventure;Free to Play;Simulation;Sports",$0
"Adventure;Massively Multiplayer;RPG;Strategy",$0
"Free to Play;Indie;Massively Multiplayer;Strategy",$0
