genres,average_rating_percentage
Action;Indie;RPG,0.83
Adventure;Indie,0.82
Indie,0.81
Action,0.79
Action;Adventure,0.79
Action;Adventure;Indie,0.79
Action;Adventure;Indie;RPG,0.79
Action;RPG,0.78
Adventure;Casual,0.78
RPG,0.77
Action;Casual;Indie,0.77
Adventure;Casual;Indie,0.77
Adventure,0.76
Action;Indie;Strategy,0.75
Action;Indie,0.75
Casual;Indie,0.74
Casual,0.74
Indie;Strategy,0.72
Strategy,0.72
RPG;Strategy,0.72
Indie;Simulation;Strategy,0.72
Indie;Casual,0.71
Racing,0.70
Simulation;Strategy,0.69
Simulation,0.60
